product_id,coast_layer_observed,anchorage_layer_observed,fairway_layer_observed
S1A_IW_GRDH_1SDV_20250711T055837_20250711T055902_060032_077547_699B,1,0,0
S1A_IW_GRDH_1SDV_20250909T055837_20250909T055902_060907_0795EC_8CC1,1,0,0
S1A_IW_GRDH_1SDV_20251027T055837_20251027T055902_061607_07B211_E251,1,0,0
S1A_IW_GRDH_1SDV_20251120T055836_20251120T055901_061957_07BFB6_DC2D,1,0,0
S1A_IW_GRDH_1SDV_20251202T055835_20251202T055900_062132_07C68A_27C0,1,0,0
S1A_IW_GRDH_1SDV_20251214T055834_20251214T055859_062307_07CD62_B45A,1,0,0
S1A_IW_GRDH_1SDV_20251226T055832_20251226T055857_062482_07D430_A244,1,0,0
S1A_IW_GRDH_1SDV_20260224T055828_20260224T055853_063357_07F51A_CAA5,1,0,0
S1A_IW_GRDH_1SDV_20250213T083110_20250213T083139_057875_0723AA_0832,1,1,0
S1A_IW_GRDH_1SDV_20250309T083110_20250309T083139_058225_0731F2_0C8F,1,1,0
S1C_IW_GRDH_1SDV_20250526T083012_20250526T083037_002499_00535A_A7A9,1,1,0
S1C_IW_GRDH_1SDV_20250607T083013_20250607T083038_002674_005863_339E,1,1,0
S1C_IW_GRDH_1SDV_20250619T083013_20250619T083038_002849_005D71_762B,1,1,0
S1C_IW_GRDH_1SDV_20250713T083015_20250713T083040_003199_006788_CF0A,1,1,0
S1C_IW_GRDH_1SDV_20250725T083016_20250725T083041_003374_006C9F_DCD2,1,1,0
S1C_IW_GRDH_1SDV_20250806T083016_20250806T083041_003549_0071C1_63F3,1,1,0
S1C_IW_GRDH_1SDV_20250923T083018_20250923T083043_004249_0086DF_07F5,1,1,0
S1C_IW_GRDH_1SDV_20251005T083018_20251005T083043_004424_008C38_8E9B,1,1,0
S1C_IW_GRDH_1SDV_20251017T083018_20251017T083043_004599_009184_9E4E,1,1,0
S1C_IW_GRDH_1SDV_20251110T083017_20251110T083042_004949_009CA9_3A13,1,1,0
S1C_IW_GRDH_1SDV_20251204T083017_20251204T083042_005299_00A86E_347C,1,1,0
S1C_IW_GRDH_1SDV_20251216T083016_20251216T083041_005474_00AE73_758D,1,1,0
S1C_IW_GRDH_1SDV_20251228T083015_20251228T083040_005649_00B479_86EE,1,1,0
