fold,pseudo_target,intervention,seed,changed,delta_BA
JebelAli,Shanghai,permute_D3,20260932,22629,-0.0004709959245430273
JebelAli,Shanghai,permute_D3,20260933,22670,0.0010457085682212819
JebelAli,Shanghai,permute_D3,20260934,22618,0.0
JebelAli,Shanghai,permute_D3,20260935,22814,0.0021072796934866744
JebelAli,Shanghai,permute_D3,20260936,22774,0.004214559386973238
JebelAli,Shanghai,permute_D3,20260937,22754,-0.0002952876003611271
JebelAli,Shanghai,permute_D3,20260938,22716,0.0021072796934866744
JebelAli,Shanghai,permute_D3,20260939,22753,-0.0010615711252653925
JebelAli,Shanghai,permute_joint,20260920,23835,-0.004701417868560376
JebelAli,Shanghai,permute_joint,20260921,23852,-0.0010615711252653925
JebelAli,Shanghai,permute_joint,20260922,23830,-0.002123142250530785
JebelAli,Shanghai,permute_joint,20260923,23899,0.0018119920931254363
JebelAli,Shanghai,permute_joint,20260924,23797,-0.0007662835249041544
JebelAli,Shanghai,permute_joint,20260925,23771,0.0015167044927643092
JebelAli,Shanghai,permute_joint,20260926,23848,0.0015325670498084198
JebelAli,Shanghai,permute_joint,20260927,23720,0.003049271542572729
JebelAli,Shanghai,permute_joint,20260928,23799,0.0022988505747126853
JebelAli,Shanghai,permute_joint,20260929,23800,-0.003360421699977967
JebelAli,Shanghai,permute_joint,20260930,23753,-0.002418429850891912
JebelAli,Shanghai,permute_joint,20260931,23824,0.0007662835249041544
JebelAli,Shanghai,permute_joint,20260932,23805,-0.001340996168582298
JebelAli,Shanghai,permute_joint,20260933,23891,0.0021072796934866744
JebelAli,Shanghai,permute_joint,20260934,23803,0.0007662835249041544
JebelAli,Shanghai,permute_joint,20260935,23758,0.0013251336115381873
JebelAli,Shanghai,permute_joint,20260936,23776,0.0012372794494472927
JebelAli,Shanghai,permute_joint,20260937,23767,0.002873563218390829
JebelAli,Shanghai,permute_joint,20260938,23882,-0.006042414037142785
JebelAli,Shanghai,permute_joint,20260939,23891,0.0
PortSaid,Shanghai,permute_D0,20260920,10224,-0.004733284682910288
PortSaid,Shanghai,permute_D0,20260921,10196,0.0034398514441448813
PortSaid,Shanghai,permute_D0,20260922,10249,-0.009180759938502148
PortSaid,Shanghai,permute_D0,20260923,10272,-0.010216592223422194
PortSaid,Shanghai,permute_D0,20260924,10204,-0.005332585695763448
PortSaid,Shanghai,permute_D0,20260925,10197,-0.0041664836371623215
PortSaid,Shanghai,permute_D0,20260926,10236,0.0006062881852683666
PortSaid,Shanghai,permute_D0,20260927,10187,0.004263484213747393
PortSaid,Shanghai,permute_D0,20260928,10253,-0.009017905852321983
PortSaid,Shanghai,permute_D0,20260929,10252,-0.0009475800125708367
PortSaid,Shanghai,permute_D0,20260930,10199,-0.0069907857718092825
PortSaid,Shanghai,permute_D0,20260931,10164,-0.012121354128184103
PortSaid,Shanghai,permute_D0,20260932,10244,-0.0007669560388434138
PortSaid,Shanghai,permute_D0,20260933,10171,0.0006120978959872625
PortSaid,Shanghai,permute_D0,20260934,10230,-0.006636184241378962
PortSaid,Shanghai,permute_D0,20260935,10180,-0.0056209929612082155
PortSaid,Shanghai,permute_D0,20260936,10191,0.004026183509260928
PortSaid,Shanghai,permute_D0,20260937,10243,-0.007746891619205498
PortSaid,Shanghai,permute_D0,20260938,10149,-0.004157222512932712
PortSaid,Shanghai,permute_D0,20260939,10292,-0.002214818945864838
PortSaid,Shanghai,permute_D1,20260920,0,0.0
PortSaid,Shanghai,permute_D1,20260921,0,0.0
PortSaid,Shanghai,permute_D1,20260922,0,0.0
PortSaid,Shanghai,permute_D1,20260923,0,0.0
PortSaid,Shanghai,permute_D1,20260924,0,0.0
PortSaid,Shanghai,permute_D1,20260925,0,0.0
PortSaid,Shanghai,permute_D1,20260926,0,0.0
PortSaid,Shanghai,permute_D1,20260927,0,0.0
PortSaid,Shanghai,permute_D1,20260928,0,0.0
PortSaid,Shanghai,permute_D1,20260929,0,0.0
PortSaid,Shanghai,permute_D1,20260930,0,0.0
PortSaid,Shanghai,permute_D1,20260931,0,0.0
PortSaid,Shanghai,permute_D1,20260932,0,0.0
PortSaid,Shanghai,permute_D1,20260933,0,0.0
PortSaid,Shanghai,permute_D1,20260934,0,0.0
PortSaid,Shanghai,permute_D1,20260935,0,0.0
PortSaid,Shanghai,permute_D1,20260936,0,0.0
PortSaid,Shanghai,permute_D1,20260937,0,0.0
PortSaid,Shanghai,permute_D1,20260938,0,0.0
PortSaid,Shanghai,permute_D1,20260939,0,0.0
PortSaid,Shanghai,permute_D2,20260920,0,0.0
PortSaid,Shanghai,permute_D2,20260921,0,0.0
PortSaid,Shanghai,permute_D2,20260922,0,0.0
PortSaid,Shanghai,permute_D2,20260923,0,0.0
PortSaid,Shanghai,permute_D2,20260924,0,0.0
