fold,held_out_port,statistic,direction,threshold_selected_on_train,train_mean_ba_gain,signal_value,action,ba,acc,cross_ba,mean_ba,oracle_ba,delta_ba,regret_vs_oracle_ba,class_support
Shanghai,Jebel Ali,stat_entropy_after,1,0.879909,0.00078786989483981,0.5403904204966419,cross,0.9235074626865671,0.8492647058823529,0.9235074626865671,0.8694029850746269,0.9235074626865671,-0.05410447761194026,0.0,"{""fishing_vessel"": 4, ""tug_towing"": 268}"
PortKlang,Jebel Ali,stat_entropy_after,1,0.879909,0.00078786989483981,0.6264587544880819,cross,0.6132896125433439,0.3490304709141274,0.6132896125433439,0.566127694859038,0.6132896125433439,-0.04716191768430589,0.0,"{""container_ship"": 3, ""dredger"": 44, ""fishing_vessel"": 4, ""passenger_ship"": 12, ""product_chemical_tanker"": 30, ""tug_towing"": 268}"
Fujairah,Jebel Ali,stat_entropy_after,1,0.879909,0.00078786989483981,0.40018296557678257,cross,0.3827860696517413,0.1489971346704871,0.3827860696517413,0.3597919493441881,0.3827860696517413,-0.022994120307553156,0.0,"{""container_ship"": 3, ""dredger"": 44, ""fishing_vessel"": 4, ""product_chemical_tanker"": 30, ""tug_towing"": 268}"
PortSaid,Jebel Ali,stat_entropy_after,1,0.879909,0.00078786989483981,0.40986269485290466,cross,0.6249525101763908,0.39255014326647564,0.6249525101763908,0.46382632293080056,0.6249525101763908,-0.1611261872455902,0.0,"{""container_ship"": 3, ""dredger"": 44, ""fishing_vessel"": 4, ""product_chemical_tanker"": 30, ""tug_towing"": 268}"
Rotterdam,Qingdao,stat_entropy_after,-1,0.187042,-0.004314298738020781,0.8799087652748787,cross,0.30427082348678197,0.21439936356404138,0.30427082348678197,0.3276939992717402,0.3276939992717402,0.023423175784958228,0.023423175784958228,"{""container_ship"": 142, ""dredger"": 64, ""fishing_vessel"": 2235, ""product_chemical_tanker"": 38, ""tug_towing"": 35}"
Shanghai,Qingdao,stat_entropy_after,-1,0.187042,-0.004314298738020781,0.4070754643057265,cross,0.5899328859060403,0.38634361233480174,0.5899328859060403,0.5452860338766379,0.5899328859060403,-0.04464685202940244,0.0,"{""fishing_vessel"": 2235, ""tug_towing"": 35}"
PortKlang,Qingdao,stat_entropy_after,-1,0.187042,-0.004314298738020781,0.7914534163618728,cross,0.5532616338558847,0.4068262063554335,0.5532616338558847,0.34199110880598166,0.5532616338558847,-0.211270525049903,0.0,"{""container_ship"": 142, ""dredger"": 64, ""fishing_vessel"": 2235, ""passenger_ship"": 35, ""product_chemical_tanker"": 38, ""tug_towing"": 35}"
Fujairah,Qingdao,stat_entropy_after,-1,0.187042,-0.004314298738020781,0.7273733644791579,cross,0.6686073283572861,0.6972951471758154,0.6686073283572861,0.63978217281435,0.6686073283572861,-0.028825155542936076,0.0,"{""container_ship"": 142, ""dredger"": 64, ""fishing_vessel"": 2235, ""product_chemical_tanker"": 38, ""tug_towing"": 35}"
JebelAli,Qingdao,stat_entropy_after,-1,0.187042,-0.004314298738020781,0.21440557340381636,cross,0.8609305347371327,0.8121890547263682,0.8609305347371327,0.7381839133233404,0.8609305347371327,-0.12274662141379222,0.0,"{""container_ship"": 142, ""fishing_vessel"": 2235, ""tug_towing"": 35}"
PortSaid,Qingdao,stat_entropy_after,-1,0.187042,-0.004314298738020781,0.6038068342261611,cross,0.5254843201739579,0.375497215592681,0.5254843201739579,0.4194437293725855,0.5254843201739579,-0.10604059080137235,0.0,"{""container_ship"": 142, ""dredger"": 64, ""fishing_vessel"": 2235, ""product_chemical_tanker"": 38, ""tug_towing"": 35}"
