mmsi,ais_rows,final_class,class_level,source,confidence,type_code,imo,vessel_kind,registry_type,flag,name,note
367156850,1750,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367156970,3,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,absent_from_mapping
367157128,1,,unknown,needs_manual,none,,,ship,,,,absent_from_mapping
367157370,4,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367160030,2436,,unknown,needs_manual,none,10,,ship,,,,type_outside_frozen_rules
367160060,1,,unknown,needs_manual,none,,,ship,,,,coarse_type_only
367161070,1,passenger_ship,fine,rule_validated,medium,60,,ship,,,,purity 0.917 support 1455
367161570,274,,unknown,needs_manual,none,6,,ship,,,,type_outside_frozen_rules
367162270,983,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367162830,2653,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367162840,937,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367163370,43,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367164650,1245,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367165610,2,,unknown,needs_manual,none,,,ship,,,,coarse_type_only
367166430,72,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,coarse_type_only
367166440,537,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367167020,67,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367168780,1,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,absent_from_mapping
367170010,936,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367170840,54,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367175640,164,,unknown,needs_manual,none,34,,ship,,,,type_outside_frozen_rules
367181760,17,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367185000,359,cargo_coarse,coarse,coarse_type_code,coarse,70,,ship,,,,AIS type code 70 (coarse family only)
367186270,14,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367186630,4,cargo_coarse,coarse,coarse_type_code,coarse,70,,ship,,,,AIS type code 70 (coarse family only)
367189510,113,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367189890,258,cargo_coarse,coarse,myshiptracking_label,coarse,70,,ship,,,,MyShipTracking label: Cargo
367190000,47,cargo_coarse,coarse,coarse_type_code,coarse,70,,ship,,,,AIS type code 70 (coarse family only)
367190320,1,,unknown,needs_manual,none,,,ship,,,,coarse_type_only
367191080,6,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367192940,1586,passenger_ship,fine,myshiptracking_label,medium,40,,ship,,,,MyShipTracking label: High speed craft
367193790,767,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367197330,7,,unknown,needs_manual,none,,,ship,,,,coarse_type_only
367197380,2,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,absent_from_mapping
367199310,3774,passenger_ship,fine,myshiptracking_label,medium,40,,ship,,,,MyShipTracking label: High speed craft
367199960,119,,unknown,needs_manual,none,7,,ship,,,,no_usable_type
367211000,32,cargo_coarse,coarse,coarse_type_code,coarse,70,,ship,,,,AIS type code 70 (coarse family only)
367212387,2,,unknown,needs_manual,none,,,ship,,,,coarse_type_only
367212737,2,,unknown,needs_manual,none,,,ship,,,,coarse_type_only
367216397,1,,unknown,needs_manual,none,,,ship,,,,coarse_type_only
367217803,3,,unknown,needs_manual,none,,,ship,,,,coarse_type_only
367218000,14,tanker_coarse,coarse,coarse_type_code,coarse,80,,ship,,,,AIS type code 80 (coarse family only)
367218002,3,,unknown,needs_manual,none,,,ship,,,,coarse_type_only
367218971,4,,unknown,needs_manual,none,,,ship,,,,coarse_type_only
367219000,53,tanker_coarse,coarse,coarse_type_code,coarse,89,,ship,,,,AIS type code 89 (coarse family only)
367219136,1,,unknown,needs_manual,none,,,ship,,,,coarse_type_only
367219213,1,,unknown,needs_manual,none,,,ship,,,,absent_from_mapping
367221000,4,tanker_coarse,coarse,coarse_type_code,coarse,89,,ship,,,,AIS type code 89 (coarse family only)
367241000,96,,unknown,needs_manual,none,99,,ship,,,,type_outside_frozen_rules
367258000,3,,unknown,needs_manual,none,55,,ship,,,,coarse_type_only
367269000,43,,unknown,needs_manual,none,55,,ship,,,,type_outside_frozen_rules
367288000,1,,unknown,needs_manual,none,55,,ship,,,,coarse_type_only
367297000,40,,unknown,needs_manual,none,55,,ship,,,,coarse_type_only
367299580,1,,unknown,needs_manual,none,8,5255684,ship,,,,coarse_type_only
367300160,142,cargo_coarse,coarse,coarse_type_code,coarse,70,,ship,,,,AIS type code 70 (coarse family only)
367300990,17,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367301010,308,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
