manifest,date,utm,epsg_raster,epsg_vector,tif_exists,n_points,inside_pct,time_match,sog_med,len_med,status
SAR_Ship_Chip_20211226_UTM04N_EPSG32604_10m.manifest.json,20211226,4,32604,32604,1,28,100.0,28/28,0.0,43.5,ok
SAR_Ship_Chip_20211226_UTM16N_EPSG32616_10m.manifest.json,20211226,16,32616,32616,1,1,100.0,1/1,0.0,333.0,ok
SAR_Ship_Chip_20211226_UTM17N_EPSG32617_10m.manifest.json,20211226,17,32617,32617,1,7,100.0,7/7,10.1,200.0,ok
SAR_Ship_Chip_20211226_UTM19N_EPSG32619_10m.manifest.json,20211226,19,32619,32619,1,7,100.0,7/7,11.83,53.0,ok
SAR_Ship_Chip_20211226_UTM20N_EPSG32620_10m.manifest.json,20211226,20,32620,32620,1,8,100.0,8/8,12.88,183.0,ok
SAR_Ship_Chip_20211227_UTM11N_EPSG32611_10m.manifest.json,20211227,11,32611,32611,1,25,100.0,25/25,0.0,79.0,ok
SAR_Ship_Chip_20211227_UTM16N_EPSG32616_10m.manifest.json,20211227,16,32616,32616,1,386,100.0,386/386,0.0,95.0,ok
SAR_Ship_Chip_20211227_UTM17N_EPSG32617_10m.manifest.json,20211227,17,32617,32617,1,22,100.0,22/22,0.11,139.5,ok
SAR_Ship_Chip_20211227_UTM18N_EPSG32618_10m.manifest.json,20211227,18,32618,32618,1,129,100.0,129/129,0.0,189.0,ok
SAR_Ship_Chip_20211228_UTM10N_EPSG32610_10m.manifest.json,20211228,10,32610,32610,1,171,100.0,171/171,0.0,171.0,ok
SAR_Ship_Chip_20211228_UTM16N_EPSG32616_10m.manifest.json,20211228,16,32616,32616,1,7,100.0,7/7,0.05,89.0,ok
SAR_Ship_Chip_20211228_UTM17N_EPSG32617_10m.manifest.json,20211228,17,32617,32617,1,33,100.0,33/33,9.6,220.0,ok
SAR_Ship_Chip_20211229_UTM04N_EPSG32604_10m.manifest.json,20211229,4,32604,32604,1,25,100.0,25/25,0.0,47.0,ok
SAR_Ship_Chip_20211229_UTM18N_EPSG32618_10m.manifest.json,20211229,18,32618,32618,1,165,100.0,165/165,0.0,49.0,ok
SAR_Ship_Chip_20211229_UTM19N_EPSG32619_10m.manifest.json,20211229,19,32619,32619,1,10,100.0,10/10,10.11,223.5,ok
SAR_Ship_Chip_20211229_UTM20N_EPSG32620_10m.manifest.json,20211229,20,32620,32620,1,70,100.0,70/70,0.16,85.5,ok
SAR_Ship_Chip_20211230_UTM10N_EPSG32610_10m.manifest.json,20211230,10,32610,32610,1,172,100.0,172/172,0.02,179.0,ok
SAR_Ship_Chip_20211230_UTM15N_EPSG32615_10m.manifest.json,20211230,15,32615,32615,1,294,100.0,294/294,0.02,160.0,ok
SAR_Ship_Chip_20211230_UTM16N_EPSG32616_10m.manifest.json,20211230,16,32616,32616,1,1,100.0,1/1,10.3,210.0,ok
SAR_Ship_Chip_20211230_UTM17N_EPSG32617_10m.manifest.json,20211230,17,32617,32617,1,245,100.0,245/245,0.0,60.0,ok
SAR_Ship_Chip_20220102_UTM17N_EPSG32617_10m.manifest.json,20220102,17,32617,32617,1,11,100.0,11/11,12.8,176.0,ok
SAR_Ship_Chip_20220102_UTM19N_EPSG32619_10m.manifest.json,20220102,19,32619,32619,1,1,100.0,1/1,0.0,39.0,ok
SAR_Ship_Chip_20220103_UTM11N_EPSG32611_10m.manifest.json,20220103,11,32611,32611,1,2,100.0,2/2,11.33,252.0,ok
SAR_Ship_Chip_20220103_UTM18N_EPSG32618_10m.manifest.json,20220103,18,32618,32618,1,136,100.0,136/136,0.02,180.0,ok
SAR_Ship_Chip_20220103_UTM19N_EPSG32619_10m.manifest.json,20220103,19,32619,32619,1,23,100.0,23/23,12.2,192.0,ok
SAR_Ship_Chip_20220104_UTM10N_EPSG32610_10m.manifest.json,20220104,10,32610,32610,1,86,100.0,86/86,0.04,179.0,ok
SAR_Ship_Chip_20220104_UTM14N_EPSG32614_10m.manifest.json,20220104,14,32614,32614,1,67,100.0,67/67,0.0,64.0,ok
SAR_Ship_Chip_20220104_UTM16N_EPSG32616_10m.manifest.json,20220104,16,32616,32616,1,22,100.0,22/22,0.0,146.0,ok
SAR_Ship_Chip_20211231_UTM16N_EPSG32616_10m.manifest.json,20211231,16,32616,32616,1,2,100.0,2/2,13.86,220.0,ok
SAR_Ship_Chip_20211231_UTM19N_EPSG32619_10m.manifest.json,20211231,19,32619,32619,1,53,100.0,53/53,0.1,53.0,ok
SAR_Ship_Chip_20211231_UTM20N_EPSG32620_10m.manifest.json,20211231,20,32620,32620,1,49,100.0,49/49,0.13,90.0,ok
SAR_Ship_Chip_20220101_UTM11N_EPSG32611_10m.manifest.json,20220101,11,32611,32611,1,277,100.0,277/277,0.08,210.0,ok
SAR_Ship_Chip_20220101_UTM15N_EPSG32615_10m.manifest.json,20220101,15,32615,32615,1,123,100.0,123/123,0.07,86.0,ok
