port,product,pol,objects,quark_file,quark_mb,quark_fid
Ningbo-Zhoushan,S1A_IW_GRDH_1SDV_20251230T095431_20251230T095456_062543_07D685_F009,VH,899,S1A_IW_GRDH_1SDV_20251230T095431_20251230T095456_062543_07D685_F009_VH_UTM_8bit.tif,364.5,f58892b699fc4056aace03a045100483
Ningbo-Zhoushan,S1A_IW_GRDH_1SDV_20251230T095431_20251230T095456_062543_07D685_F009,VV,847,S1A_IW_GRDH_1SDV_20251230T095431_20251230T095456_062543_07D685_F009_VV_UTM_8bit.tif,418.6,7cd678d838b041f3b7b5745fd94f0dd4
Port Hedland,S1C_IW_GRDH_1SDV_20250614T213050_20250614T213119_002784_005B97_D06D,VH,70,S1C_IW_GRDH_1SDV_20250614T213050_20250614T213119_002784_005B97_D06D_VH_UTM_8bit.tif,374.8,889e788420a54796b78fe612f104530e
Port Hedland,S1C_IW_GRDH_1SDV_20250614T213050_20250614T213119_002784_005B97_D06D,VV,68,S1C_IW_GRDH_1SDV_20250614T213050_20250614T213119_002784_005B97_D06D_VV_UTM_8bit.tif,498.3,16021652057e49c88aea7a9a6870f4f1
Port Hedland,S1C_IW_GRDH_1SDV_20250813T213053_20250813T213122_003659_00751A_DBC8,VH,103,S1C_IW_GRDH_1SDV_20250813T213053_20250813T213122_003659_00751A_DBC8_VH_UTM_8bit.tif,373.1,b3b7d203b5454880aed78724f1dcac08
Port Hedland,S1C_IW_GRDH_1SDV_20250813T213053_20250813T213122_003659_00751A_DBC8,VV,103,S1C_IW_GRDH_1SDV_20250813T213053_20250813T213122_003659_00751A_DBC8_VV_UTM_8bit.tif,484.9,e919123dd2a14483b2e2e30f5894ce37
Port Hedland,S1C_IW_GRDH_1SDV_20251024T213054_20251024T213124_004709_0094E0_DB1C,VH,78,S1C_IW_GRDH_1SDV_20251024T213054_20251024T213124_004709_0094E0_DB1C_VH_UTM_8bit.tif,386.7,0682650c7688476f9baa15c5e2f7f482
Port Hedland,S1C_IW_GRDH_1SDV_20251024T213054_20251024T213124_004709_0094E0_DB1C,VV,77,S1C_IW_GRDH_1SDV_20251024T213054_20251024T213124_004709_0094E0_DB1C_VV_UTM_8bit.tif,517.6,4a6312b85de44c68984a5f6aaa2e8cff
Port Hedland,S1C_IW_GRDH_1SDV_20251105T213054_20251105T213124_004884_009A7D_8FDC,VH,66,S1C_IW_GRDH_1SDV_20251105T213054_20251105T213124_004884_009A7D_8FDC_VH_UTM_8bit.tif,387.5,9498b81b919c4dc5b941bed7c3a297f3
Port Hedland,S1C_IW_GRDH_1SDV_20251105T213054_20251105T213124_004884_009A7D_8FDC,VV,65,S1C_IW_GRDH_1SDV_20251105T213054_20251105T213124_004884_009A7D_8FDC_VV_UTM_8bit.tif,514.1,2b84bf264345415c93b4c88a5ab75279
Port Hedland,S1C_IW_GRDH_1SDV_20251117T213054_20251117T213123_005059_00A05C_1C3A,VH,63,S1C_IW_GRDH_1SDV_20251117T213054_20251117T213123_005059_00A05C_1C3A_VH_UTM_8bit.tif,383.8,e7ede2fcf458446090d8dbb7d789af6f
Port Hedland,S1C_IW_GRDH_1SDV_20251117T213054_20251117T213123_005059_00A05C_1C3A,VV,61,S1C_IW_GRDH_1SDV_20251117T213054_20251117T213123_005059_00A05C_1C3A_VV_UTM_8bit.tif,501.8,f4393b2bd38e440d8483d501711bcad3
Port Hedland,S1C_IW_GRDH_1SDV_20251129T213053_20251129T213123_005234_00A63B_63CD,VH,62,S1C_IW_GRDH_1SDV_20251129T213053_20251129T213123_005234_00A63B_63CD_VH_UTM_8bit.tif,382.0,d5c7d3acf17943f4b4eb165b22b71999
Port Hedland,S1C_IW_GRDH_1SDV_20251129T213053_20251129T213123_005234_00A63B_63CD,VV,61,S1C_IW_GRDH_1SDV_20251129T213053_20251129T213123_005234_00A63B_63CD_VV_UTM_8bit.tif,486.9,5d59bb9f94784672b5e66558c972acd0
Port Hedland,S1C_IW_GRDH_1SDV_20251211T213053_20251211T213122_005409_00AC3F_40F8,VH,87,S1C_IW_GRDH_1SDV_20251211T213053_20251211T213122_005409_00AC3F_40F8_VH_UTM_8bit.tif,388.5,52370116efef45e4926a8657b9793cb3
Port Hedland,S1C_IW_GRDH_1SDV_20251211T213053_20251211T213122_005409_00AC3F_40F8,VV,84,S1C_IW_GRDH_1SDV_20251211T213053_20251211T213122_005409_00AC3F_40F8_VV_UTM_8bit.tif,505.2,91246f48cb1d4e198763bf3e8cad7403
Port Hedland,S1C_IW_GRDH_1SDV_20251223T213052_20251223T213121_005584_00B23E_FFF7,VH,102,S1C_IW_GRDH_1SDV_20251223T213052_20251223T213121_005584_00B23E_FFF7_VH_UTM_8bit.tif,380.6,13535c135c2347ce9b47933d331c7fa8
Port Hedland,S1C_IW_GRDH_1SDV_20251223T213052_20251223T213121_005584_00B23E_FFF7,VV,99,S1C_IW_GRDH_1SDV_20251223T213052_20251223T213121_005584_00B23E_FFF7_VV_UTM_8bit.tif,486.6,837f9a5fa5dd4233a3bdd8479044ccc5
