port,class,class_name,n,ridge_V,ridge_VK,gbm_zk,gate_old,gate_new,gate_new_theta,oracle3
Shanghai,0,bulk_carrier,836,0.4988038277511962,0.69377990430622,0.9497607655502392,0.9521531100478469,0.9461722488038278,0.9473684210526315,0.972488038277512
Shanghai,1,fishing_vessel,1150,0.9234782608695652,0.9095652173913044,0.8843478260869565,0.8895652173913043,0.8826086956521739,0.8817391304347826,0.9452173913043478
Shanghai,2,general_cargo,404,0.3935643564356436,0.5148514851485149,0.9108910891089109,0.8366336633663366,0.9207920792079208,0.9183168316831684,0.9207920792079208
Singapore,0,bulk_carrier,1108,0.4747292418772563,0.572202166064982,0.9232851985559567,0.9404332129963899,0.953971119133574,0.9548736462093863,0.9620938628158845
Singapore,1,fishing_vessel,57,0.2631578947368421,0.2982456140350877,0.543859649122807,0.543859649122807,0.543859649122807,0.543859649122807,0.5789473684210527
Singapore,2,general_cargo,415,0.21927710843373494,0.06265060240963856,0.36626506024096384,0.3325301204819277,0.21445783132530122,0.1783132530120482,0.4578313253012048
Singapore,3,product_chem_tanker,1905,0.2099737532808399,0.16745406824146983,0.2551181102362205,0.220997375328084,0.2146981627296588,0.2283464566929134,0.3963254593175853
Singapore,4,container_ship,446,0.5269058295964125,0.4282511210762332,0.289237668161435,0.3430493273542601,0.2802690582959641,0.2802690582959641,0.6233183856502242
Singapore,5,crude_oil_tanker,451,0.6385809312638581,0.41019955654101997,0.2926829268292683,0.3148558758314856,0.2793791574279379,0.29046563192904656,0.6718403547671841
Singapore,6,tug_towing,467,0.15417558886509636,0.2398286937901499,0.03640256959314775,0.09207708779443255,0.032119914346895075,0.032119914346895075,0.3490364025695932
Singapore,7,offshore_supply,410,0.3926829268292683,0.21951219512195122,0.03170731707317073,0.0951219512195122,0.02195121951219512,0.02195121951219512,0.47804878048780486
Sydney Botany,0,bulk_carrier,196,0.42346938775510207,0.5459183673469388,0.9336734693877551,0.5561224489795918,0.7551020408163265,0.7602040816326531,0.9591836734693877
Sydney Botany,1,fishing_vessel,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sydney Botany,2,general_cargo,18,0.1111111111111111,0.1111111111111111,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.16666666666666666
Sydney Botany,3,product_chem_tanker,19,0.42105263157894735,0.3157894736842105,0.42105263157894735,0.42105263157894735,0.2631578947368421,0.3684210526315789,0.5789473684210527
Sydney Botany,4,container_ship,36,0.6388888888888888,0.6388888888888888,0.5277777777777778,0.6388888888888888,0.6111111111111112,0.6111111111111112,0.7222222222222222
Sydney Botany,5,crude_oil_tanker,10,0.7,0.8,0.5,0.7,0.7,0.6,0.8
Sydney Botany,6,tug_towing,20,0.05,0.0,0.0,0.05,0.0,0.0,0.05
Sydney Botany,7,offshore_supply,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanger Med,0,bulk_carrier,269,0.21933085501858737,0.6356877323420075,0.8921933085501859,0.9033457249070632,0.8884758364312267,0.895910780669145,0.9219330855018587
Tanger Med,1,fishing_vessel,5,0.8,0.8,0.6,0.6,0.6,0.8,0.8
Tanger Med,2,general_cargo,278,0.5611510791366906,0.539568345323741,0.26258992805755393,0.35251798561151076,0.4244604316546763,0.3669064748201439,0.6690647482014388
Tanger Med,3,product_chem_tanker,339,0.3303834808259587,0.46607669616519176,0.775811209439528,0.616519174041298,0.504424778761062,0.46017699115044247,0.8348082595870207
Tanger Med,4,container_ship,243,0.35802469135802467,0.34156378600823045,0.18518518518518517,0.2880658436213992,0.18518518518518517,0.3168724279835391,0.39094650205761317
Tanger Med,5,crude_oil_tanker,84,0.6190476190476191,0.6309523809523809,0.3333333333333333,0.6071428571428571,0.34523809523809523,0.5952380952380952,0.7023809523809523
Tanger Med,6,tug_towing,30,0.1,0.03333333333333333,0.1,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.2
Tanger Med,7,offshore_supply,18,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.16666666666666666
